timestamp,time_usec,lat,lon,alt,eph,epv,vel,cog,fix_type,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw
1683558434.8169758,1831226000,-353632621,1491652374,584380,121,200,0,25277,6,10,584380,300,300,40,0,0
1683558435.8118596,1832226000,-353632621,1491652374,584380,121,200,0,18447,6,10,584380,300,300,40,0,0
1683558436.8115327,1833226000,-353632621,1491652374,584380,121,200,0,22041,6,10,584380,300,300,40,0,0
1683558437.814693,1834226000,-353632621,1491652374,584380,121,200,0,13951,6,10,584380,300,300,40,0,0
1683558438.8143716,1835226000,-353632621,1491652374,584380,121,200,0,28399,6,10,584380,300,300,40,0,0
1683558439.8148146,1836226000,-353632621,1491652374,584380,121,200,0,28246,6,10,584380,300,300,40,0,0
1683558440.8143883,1837226000,-353632621,1491652374,584380,121,200,0,2677,6,10,584380,300,300,40,0,0
1683558441.809873,1838226000,-353632621,1491652374,584380,121,200,0,25398,6,10,584380,300,300,40,0,0
1683558442.810365,1839226000,-353632621,1491652374,584380,121,200,0,24771,6,10,584380,300,300,40,0,0
1683558443.8119457,1840226000,-353632621,1491652374,584380,121,200,0,21210,6,10,584380,300,300,40,0,0
1683558444.8119006,1841226000,-353632621,1491652374,584380,121,200,0,29321,6,10,584380,300,300,40,0,0
1683558445.8120413,1842226000,-353632621,1491652374,584380,121,200,0,28945,6,10,584380,300,300,40,0,0
1683558446.81247,1843226000,-353632621,1491652374,584380,121,200,0,28657,6,10,584380,300,300,40,0,0
